"timeseq_min","i","h","m","s","p"
1373874120,1,2,0,0,0
1373874180,1,2,0,0,0
1373874240,1,2,0,0,1
1373874300,1,2,0,0,1
1373874360,1,2,0,0,0
1373874420,1,2,0,1,0
1373874480,1,2,0,0,0
1373874540,1,2,0,0,0
1373874600,1,2,0,0,0
1373874660,1,2,0,0,0
1373874720,1,2,1,0,1
1373874780,1,2,0,0,0
1373874840,1,2,0,0,0
1373874900,1,2,0,0,0
1373874960,1,2,0,0,0
1373875020,1,3,0,0,0
1373875080,1,3,0,0,2
1373875140,1,3,0,0,0
1373875200,1,3,0,1,1
1373875260,1,3,0,0,0
1373875320,1,3,1,0,0
1373875380,1,4,0,0,0
1373875440,1,4,1,2,0
1373875500,1,4,1,0,0
1373875560,0,0,0,0,1
1373875620,0,0,0,0,0
1373875680,0,0,0,0,0
1373875740,0,0,0,0,0
1373875800,0,0,0,0,0
1373875860,0,0,0,0,0
1373875920,0,0,0,0,0
1373875980,0,0,0,0,0
1373876040,0,0,0,0,0
1373876100,0,0,0,0,0
1373876160,0,0,0,0,0
1373876220,0,0,0,0,0
1373876280,0,0,0,0,0
1373876340,0,0,0,0,0
1373876400,0,0,0,0,0
1373876460,0,0,0,0,0
1373876520,0,0,0,0,0
1373876580,0,0,0,0,0
1373876640,0,0,0,0,0
1373876700,0,0,0,0,0
1373876760,0,0,0,0,0
1373876820,0,0,0,0,0
1373876880,0,0,0,0,0
1373876940,0,0,0,0,0
1373877000,0,0,0,0,0
1373877060,0,0,0,0,0
1373877120,0,0,0,0,0
1373877180,0,0,0,0,0
1373877240,0,0,0,0,0
1373877300,0,0,0,0,0
1373877360,0,0,0,0,0
1373877420,0,0,0,0,0
1373877480,0,0,0,0,0
1373877540,0,0,0,0,0
1373877600,0,0,0,0,0
1373877660,0,0,0,0,0
1373877720,0,0,0,0,0
1373877780,0,0,0,0,0
1373877840,0,0,0,0,0
1373877900,0,0,0,0,0
1373877960,0,0,0,0,0
1373878020,0,0,0,0,0
1373878080,0,0,0,0,0
1373878140,0,0,0,0,0
1373878200,0,0,0,0,0
1373878260,0,0,0,0,0
1373878320,0,0,0,0,0
1373878380,0,0,0,0,0
1373878440,0,0,0,0,0
1373878500,0,0,0,0,0
1373878560,0,0,0,0,0
1373878620,0,0,0,0,0
1373878680,0,0,0,0,0
1373878740,0,0,0,0,0
1373878800,0,0,0,0,0
1373878860,0,0,0,0,0
1373878920,0,0,0,0,0
1373878980,0,0,0,0,0
1373879040,0,0,0,0,0
1373879100,0,0,0,0,0
1373879160,0,0,0,0,0
1373879220,0,0,0,0,0
1373879280,0,0,0,0,0
1373879340,0,0,0,0,0
1373879400,0,0,0,0,0
1373879460,0,0,0,0,0
1373879520,0,0,0,0,0
1373879580,0,0,0,0,0
1373879640,0,0,0,0,0
1373879700,0,0,0,0,0
1373879760,0,0,0,0,0
1373879820,0,0,0,0,0
1373879880,0,0,0,0,0
1373879940,0,0,0,0,0
1373880000,0,0,0,0,0
1373880060,0,0,0,0,0
1373880120,0,0,0,0,0
1373880180,0,0,0,0,0
1373880240,0,0,0,0,0
1373880300,0,0,0,0,0
1373880360,0,0,0,0,0
1373880420,0,0,0,0,0
1373880480,0,0,0,0,0
1373880540,0,0,0,0,0
1373880600,0,0,0,0,0
1373880660,0,0,0,0,0
1373880720,0,0,0,0,0
1373880780,0,0,0,0,0
1373880840,0,0,0,0,0
1373880900,0,0,0,0,0
1373880960,0,0,0,0,0
1373881020,0,0,0,0,0
1373881080,0,0,0,0,0
1373881140,0,0,0,0,0
